transaction_id,status,date,time,amount,card_id,city_id
TRX_00001,success,2025-09-08,23:17:00,5000.0,card_2,city_8
TRX_00002,failed,NULL,NULL,63489.0,card_3,city_3
TRX_00003,success,2025-09-20,07:32:00,1502601.0,card_4,city_2
TRX_00004,failed,2025-09-11,03:00:00,NULL,card_2,city_5
TRX_00005,success,2025-09-11,22:27:00,452545.0,card_1,city_4
TRX_00006,success,2025-09-04,02:24:00,NULL,card_3,city_8
TRX_00007,failed,2025-09-30,17:07:00,1158713.0,card_2,city_6
TRX_00008,failed,2025-09-23,18:12:00,1387769.0,card_4,city_8
TRX_00009,failed,2025-09-08,02:54:00,583952.0,card_4,city_5
TRX_00010,failed,2025-09-12,05:23:00,1472823.0,card_3,city_7
TRX_00011,failed,2025-09-06,19:40:00,343679.0,card_4,city_8
TRX_00012,failed,2025-09-21,08:59:00,1768588.0,card_3,city_3
TRX_00013,success,2025-09-11,01:51:00,443463.0,card_4,city_4
TRX_00014,failed,NULL,NULL,100.5,NULL,city_5
TRX_00015,failed,2025-09-24,04:15:00,1883871.0,card_1,city_5
TRX_00016,failed,NULL,NULL,5000.0,card_1,city_1
TRX_00017,success,2025-09-06,04:40:00,5000.0,card_3,city_8
TRX_00018,failed,2025-09-17,19:29:00,1427657.0,card_1,city_8
TRX_00019,success,NULL,NULL,100.0,card_3,city_4
TRX_00020,failed,2025-09-15,13:10:00,1050805.0,card_4,city_7
TRX_00021,failed,NULL,NULL,999999.0,NULL,city_4
TRX_00022,failed,NULL,NULL,0.0,card_4,city_8
TRX_00023,success,2025-09-28,12:44:00,412308.0,card_4,city_2
TRX_00024,success,2025-09-02,05:56:00,545116.0,card_3,city_7
TRX_00025,failed,2025-09-05,14:02:00,0.0,card_4,city_8
TRX_00026,success,2025-09-01,20:33:00,774681.0,card_1,city_2
TRX_00027,failed,2025-09-10,00:00:00,1.0,card_4,city_8
TRX_00028,success,2025-09-09,11:11:00,99999.0,card_2,city_1
TRX_00029,failed,NULL,NULL,100.5,card_3,city_8
TRX_00030,failed,2025-09-11,03:00:00,0.0,card_4,city_8
TRX_00031,success,2025-09-13,09:45:00,205000.0,card_4,city_6
TRX_00032,success,2025-09-07,21:21:00,5000.0,card_4,city_2
TRX_00033,success,2025-09-11,15:00:00,585954.0,card_2,city_8
TRX_00034,failed,NULL,NULL,177050.0,card_3,city_7
TRX_00035,success,2025-09-20,14:55:00,250000.0,card_1,city_2
TRX_00036,failed,2025-09-18,06:30:00,1.0,card_3,city_3
TRX_00037,success,2025-09-23,02:37:00,1463119.0,card_3,city_6
TRX_00038,failed,2025-09-08,08:08:00,0.0,card_1,NULL
TRX_00039,success,2025-09-04,07:07:00,100000.0,card_3,city_8
TRX_00040,failed,2025-09-02,12:12:00,343679.0,card_4,city_8
TRX_00041,failed,2025-09-19,18:45:00,200000.0,card_4,city_7
TRX_00042,success,2025-09-30,23:59:00,850000.0,card_2,city_4
TRX_00043,failed,NULL,NULL,999999.0,card_4,city_3
TRX_00044,success,2025-09-11,10:05:00,471227.0,card_4,city_3
TRX_00045,failed,NULL,NULL,12345.0,card_3,city_2
TRX_00046,success,2025-09-16,16:16:00,976246.0,card_4,city_6
TRX_00047,failed,NULL,NULL,5000.0,card_3,city_7
TRX_00048,failed,2025-09-06,14:00:00,1578078.0,card_4,city_7
TRX_00049,success,NULL,NULL,419089.0,card_3,city_8
TRX_00050,failed,2025-09-03,21:23:00,1782689.0,card_1,city_8
TRX_00051,success,2025-09-14,02:20:00,300000.0,card_2,city_1
TRX_00052,failed,NULL,NULL,0.0,card_4,city_8
TRX_00053,success,2025-09-19,19:19:00,650000.0,card_3,city_4
TRX_00054,failed,2025-09-12,12:34:00,5000.0,card_4,city_2
TRX_00055,success,2025-09-13,13:13:00,200000.0,card_4,city_8
TRX_00056,failed,2025-09-11,03:00:00,1305967.0,card_3,city_8
TRX_00057,success,2025-09-04,04:04:00,50200.0,card_1,city_7
TRX_00058,failed,2025-09-11,11:11:00,0.0,card_4,city_8
TRX_00059,success,2025-09-15,15:45:00,900000.0,card_2,city_6
TRX_00060,failed,NULL,NULL,100.5,NULL,city_5
TRX_00061,failed,2025-09-09,09:09:00,583952.0,card_4,city_5
TRX_00062,success,2025-09-06,06:06:00,1768588.0,card_3,city_3
TRX_00063,failed,2025-09-20,20:20:00,177050.0,card_3,city_8
TRX_00064,success,2025-09-01,01:01:00,450000.0,card_1,city_1
TRX_00065,failed,2025-09-02,14:11:00,999999.0,card_4,city_3
TRX_00066,success,2025-09-17,17:17:00,1387769.0,card_4,city_8
TRX_00067,failed,NULL,NULL,NULL,card_3,city_8
TRX_00068,success,2025-09-08,08:08:00,120000.0,card_3,city_2
TRX_00069,failed,2025-09-12,03:27:00,914282.0,card_2,city_4
TRX_00070,success,NULL,NULL,5000.0,card_3,city_7
TRX_00071,failed,2025-09-29,10:48:00,1578078.0,card_2,city_7
TRX_00072,success,2025-09-12,12:12:00,250000.0,card_4,city_3
TRX_00073,failed,2025-09-01,02:30:00,471227.0,card_4,city_3
TRX_00074,success,2025-09-10,21:10:00,333333.0,card_1,city_2
TRX_00075,failed,2025-09-18,18:00:00,NULL,card_3,city_8
TRX_00076,success,2025-09-09,09:00:00,200000.0,card_4,city_8
TRX_00077,failed,2025-09-30,19:51:00,914465.0,card_2,city_1
TRX_00078,success,2025-09-01,00:00:00,1000.0,card_3,city_7
TRX_00079,failed,NULL,NULL,177050.0,card_3,city_8
TRX_00080,success,2025-09-11,11:11:00,850000.0,card_2,city_5
